지점,지점명,일시,SPI3
146,전주,01/01/2022,-0.15
146,전주,02/01/2022,-0.09
146,전주,03/01/2022,-0.08
146,전주,04/01/2022,-0.08
146,전주,05/01/2022,-0.04
146,전주,06/01/2022,-0.02
146,전주,07/01/2022,-0.09
146,전주,08/01/2022,-0.08
146,전주,09/01/2022,-0.08
146,전주,10/01/2022,-0.12
146,전주,11/01/2022,-0.24
146,전주,12/01/2022,-0.22
146,전주,13/01/2022,-0.21
146,전주,14/01/2022,-0.19
146,전주,15/01/2022,-0.4
146,전주,16/01/2022,-0.57
146,전주,17/01/2022,-0.57
146,전주,18/01/2022,-0.56
146,전주,19/01/2022,-0.66
146,전주,20/01/2022,-0.68
146,전주,21/01/2022,-0.69
146,전주,22/01/2022,-0.66
146,전주,23/01/2022,-0.67
146,전주,24/01/2022,-0.65
146,전주,25/01/2022,-0.62
146,전주,26/01/2022,-0.6
146,전주,27/01/2022,-0.57
146,전주,28/01/2022,-0.52
146,전주,29/01/2022,-0.52
146,전주,30/01/2022,-0.5
146,전주,31/01/2022,-0.45
146,전주,01/02/2022,-0.4
146,전주,02/02/2022,-0.38
146,전주,03/02/2022,-0.39
146,전주,04/02/2022,-0.39
146,전주,05/02/2022,-0.36
146,전주,06/02/2022,-0.3
146,전주,08/02/2022,-0.92
146,전주,09/02/2022,-1.03
146,전주,10/02/2022,-1.44
146,전주,11/02/2022,-1.43
146,전주,12/02/2022,-1.58
146,전주,13/02/2022,-1.65
146,전주,14/02/2022,-1.67
146,전주,15/02/2022,-1.63
146,전주,16/02/2022,-1.56
146,전주,17/02/2022,-1.5
146,전주,18/02/2022,-1.49
146,전주,19/02/2022,-1.49
146,전주,20/02/2022,-1.49
146,전주,21/02/2022,-1.5
146,전주,22/02/2022,-1.81
146,전주,23/02/2022,-1.87
146,전주,24/02/2022,-1.9
146,전주,25/02/2022,-1.83
146,전주,26/02/2022,-1.83
146,전주,27/02/2022,-1.72
146,전주,28/02/2022,-2.95
146,전주,01/03/2022,-2.64
146,전주,02/03/2022,-2.58
146,전주,03/03/2022,-2.7
146,전주,04/03/2022,-2.68
146,전주,05/03/2022,-2.81
146,전주,06/03/2022,-2.8
146,전주,07/03/2022,-2.81
146,전주,08/03/2022,-2.8
146,전주,09/03/2022,-2.8
146,전주,10/03/2022,-2.85
146,전주,11/03/2022,-2.88
146,전주,12/03/2022,-3.02
146,전주,13/03/2022,-1.83
146,전주,14/03/2022,-1.59
146,전주,15/03/2022,-1.7
146,전주,16/03/2022,-1.73
146,전주,17/03/2022,-1.65
146,전주,18/03/2022,-1.66
146,전주,19/03/2022,-1.12
146,전주,20/03/2022,-1.15
146,전주,21/03/2022,-1.15
146,전주,22/03/2022,-1.17
146,전주,23/03/2022,-1.25
146,전주,24/03/2022,-1.26
146,전주,25/03/2022,-0.86
146,전주,26/03/2022,-0.43
146,전주,27/03/2022,-0.43
146,전주,28/03/2022,-0.44
146,전주,29/03/2022,-0.46
146,전주,30/03/2022,-0.46
146,전주,31/03/2022,-0.46
146,전주,01/04/2022,-0.49
146,전주,02/04/2022,-0.51
146,전주,03/04/2022,-0.52
146,전주,04/04/2022,-0.53
146,전주,05/04/2022,-0.57
146,전주,06/04/2022,-0.64
146,전주,07/04/2022,-0.56
146,전주,08/04/2022,-0.57
146,전주,09/04/2022,-0.68
146,전주,10/04/2022,-0.73
146,전주,11/04/2022,-0.79
146,전주,12/04/2022,-0.84
146,전주,13/04/2022,-0.13
146,전주,14/04/2022,-0.16
146,전주,15/04/2022,-0.19
146,전주,16/04/2022,-0.23
146,전주,17/04/2022,-0.27
146,전주,18/04/2022,-0.36
146,전주,19/04/2022,-0.44
146,전주,20/04/2022,-0.46
146,전주,21/04/2022,-0.49
146,전주,22/04/2022,-0.52
146,전주,23/04/2022,-0.54
146,전주,24/04/2022,-0.55
146,전주,25/04/2022,-0.33
146,전주,26/04/2022,0.14
146,전주,27/04/2022,0.11
146,전주,28/04/2022,0.05
146,전주,29/04/2022,0.22
146,전주,30/04/2022,0.18
146,전주,01/05/2022,0.14
146,전주,02/05/2022,0.1
146,전주,03/05/2022,0.04
146,전주,04/05/2022,0.02
146,전주,05/05/2022,0
146,전주,06/05/2022,-0.06
146,전주,07/05/2022,-0.14
146,전주,08/05/2022,-0.15
146,전주,09/05/2022,-0.16
146,전주,10/05/2022,-0.21
146,전주,11/05/2022,-0.27
146,전주,12/05/2022,-0.3
146,전주,13/05/2022,-0.37
146,전주,14/05/2022,-0.42
146,전주,15/05/2022,-0.43
146,전주,16/05/2022,-0.43
146,전주,17/05/2022,-0.46
146,전주,18/05/2022,-0.53
146,전주,19/05/2022,-0.55
146,전주,20/05/2022,-0.55
146,전주,21/05/2022,-0.57
146,전주,22/05/2022,-0.56
146,전주,23/05/2022,-0.53
146,전주,24/05/2022,-0.53
146,전주,25/05/2022,-0.5
146,전주,26/05/2022,-0.49
146,전주,27/05/2022,-0.48
146,전주,28/05/2022,-0.47
146,전주,29/05/2022,-0.48
146,전주,30/05/2022,-0.45
146,전주,31/05/2022,-0.47
146,전주,01/06/2022,-0.58
146,전주,02/06/2022,-0.61
146,전주,03/06/2022,-0.56
146,전주,04/06/2022,-0.55
146,전주,05/06/2022,-0.32
146,전주,06/06/2022,-0.29
146,전주,07/06/2022,0.12
146,전주,08/06/2022,0.07
146,전주,09/06/2022,0.05
146,전주,10/06/2022,-0.05
146,전주,11/06/2022,-0.09
146,전주,12/06/2022,-0.09
146,전주,13/06/2022,-0.45
146,전주,14/06/2022,-0.52
146,전주,15/06/2022,-0.41
146,전주,16/06/2022,-0.42
146,전주,17/06/2022,-0.51
146,전주,18/06/2022,-0.65
146,전주,19/06/2022,-1.01
146,전주,20/06/2022,-1.05
146,전주,21/06/2022,-1.06
146,전주,22/06/2022,-1.09
146,전주,23/06/2022,-0.58
146,전주,24/06/2022,0.04
146,전주,25/06/2022,-0.19
146,전주,26/06/2022,-0.43
146,전주,27/06/2022,-0.5
146,전주,28/06/2022,-0.55
146,전주,29/06/2022,-0.6
146,전주,30/06/2022,-0.64
146,전주,01/07/2022,-0.74
146,전주,02/07/2022,-0.78
146,전주,03/07/2022,-0.7
146,전주,04/07/2022,-0.49
146,전주,05/07/2022,-0.56
146,전주,06/07/2022,-0.59
146,전주,07/07/2022,-0.65
146,전주,08/07/2022,-0.67
146,전주,09/07/2022,-0.69
146,전주,10/07/2022,-0.62
146,전주,11/07/2022,-0.63
146,전주,12/07/2022,-0.69
146,전주,13/07/2022,-0.92
146,전주,14/07/2022,-0.99
146,전주,15/07/2022,-1.06
146,전주,16/07/2022,-1.04
146,전주,17/07/2022,-1.13
146,전주,18/07/2022,-0.56
146,전주,19/07/2022,-0.59
146,전주,20/07/2022,-0.61
146,전주,21/07/2022,-0.58
146,전주,22/07/2022,-0.6
146,전주,23/07/2022,-0.63
146,전주,24/07/2022,-0.62
146,전주,25/07/2022,-0.77
146,전주,26/07/2022,-0.98
146,전주,27/07/2022,-0.97
146,전주,28/07/2022,-0.97
146,전주,29/07/2022,-1.05
146,전주,30/07/2022,-1.05
146,전주,31/07/2022,-0.94
146,전주,01/08/2022,-0.93
146,전주,02/08/2022,-0.97
146,전주,03/08/2022,-0.94
146,전주,04/08/2022,-0.98
146,전주,05/08/2022,-1
146,전주,06/08/2022,-1.04
146,전주,07/08/2022,-1.05
146,전주,08/08/2022,-1.07
146,전주,09/08/2022,-1.07
146,전주,10/08/2022,-0.98
146,전주,11/08/2022,-0.44
146,전주,12/08/2022,-0.43
146,전주,13/08/2022,-0.42
146,전주,14/08/2022,-0.43
146,전주,15/08/2022,-0.45
146,전주,16/08/2022,0.08
146,전주,17/08/2022,0.06
146,전주,18/08/2022,0.03
146,전주,19/08/2022,0.01
146,전주,20/08/2022,0.12
146,전주,21/08/2022,0.08
146,전주,22/08/2022,0.06
146,전주,23/08/2022,0.06
146,전주,24/08/2022,0.04
146,전주,25/08/2022,0
146,전주,29/08/2022,-0.12
146,전주,30/08/2022,-0.13
146,전주,31/08/2022,-0.14
146,전주,01/09/2022,-0.14
146,전주,02/09/2022,-0.18
146,전주,03/09/2022,-0.19
146,전주,04/09/2022,-0.2
146,전주,05/09/2022,-0.14
146,전주,07/09/2022,-0.19
146,전주,08/09/2022,-0.18
146,전주,09/09/2022,-0.19
146,전주,10/09/2022,-0.17
146,전주,11/09/2022,-0.17
146,전주,12/09/2022,-0.18
146,전주,13/09/2022,-0.18
146,전주,14/09/2022,-0.22
146,전주,15/09/2022,-0.25
146,전주,16/09/2022,-0.26
146,전주,17/09/2022,-0.25
146,전주,18/09/2022,-0.23
146,전주,19/09/2022,-0.22
146,전주,20/09/2022,-0.2
146,전주,21/09/2022,-0.21
146,전주,22/09/2022,-0.2
146,전주,23/09/2022,-0.35
146,전주,24/09/2022,-0.58
146,전주,25/09/2022,-0.52
146,전주,26/09/2022,-0.49
