측정소명,년/월/일,수위(cm)
정읍시(풍월교),2021.12.31,114
정읍시(풍월교),2022.01.01,113.83
정읍시(풍월교),2022.01.02,113.54
정읍시(풍월교),2022.01.03,113
정읍시(풍월교),2022.01.04,114
정읍시(풍월교),2022.01.05,114
정읍시(풍월교),2022.01.06,113
정읍시(풍월교),2022.01.07,113
정읍시(풍월교),2022.01.08,112.58
정읍시(풍월교),2022.01.09,112.71
정읍시(풍월교),2022.01.10,113
정읍시(풍월교),2022.01.11,113
정읍시(풍월교),2022.01.12,114
정읍시(풍월교),2022.01.13,112
정읍시(풍월교),2022.01.14,112
정읍시(풍월교),2022.01.15,113.13
정읍시(풍월교),2022.01.16,112.83
정읍시(풍월교),2022.01.17,114
정읍시(풍월교),2022.01.18,111
정읍시(풍월교),2022.01.19,114
정읍시(풍월교),2022.01.20,113
정읍시(풍월교),2022.01.21,113
정읍시(풍월교),2022.01.22,112
정읍시(풍월교),2022.01.23,112
정읍시(풍월교),2022.01.24,112.54
정읍시(풍월교),2022.01.25,111.92
정읍시(풍월교),2022.01.26,112
정읍시(풍월교),2022.01.27,112
정읍시(풍월교),2022.01.28,112
정읍시(풍월교),2022.01.29,111.63
정읍시(풍월교),2022.01.30,112
정읍시(풍월교),2022.01.31,111.63
정읍시(풍월교),2022.02.01,111.58
정읍시(풍월교),2022.02.02,111.79
정읍시(풍월교),2022.02.03,112
정읍시(풍월교),2022.02.04,112
정읍시(풍월교),2022.02.05,113
정읍시(풍월교),2022.02.06,112.71
정읍시(풍월교),2022.02.07,112.79
정읍시(풍월교),2022.02.08,112.29
정읍시(풍월교),2022.02.09,111.92
정읍시(풍월교),2022.02.10,111.67
정읍시(풍월교),2022.02.11,111.54
정읍시(풍월교),2022.02.12,111.29
정읍시(풍월교),2022.02.13,111.5
정읍시(풍월교),2022.02.14,111.5
정읍시(풍월교),2022.02.15,110.88
정읍시(풍월교),2022.02.16,111.71
정읍시(풍월교),2022.02.17,111.63
정읍시(풍월교),2022.02.18,117.67
정읍시(풍월교),2022.02.19,119.42
정읍시(풍월교),2022.02.20,119.38
정읍시(풍월교),2022.02.21,118.54
정읍시(풍월교),2022.02.22,118.96
정읍시(풍월교),2022.02.23,118.25
정읍시(풍월교),2022.02.24,113.04
정읍시(풍월교),2022.02.25,110.75
정읍시(풍월교),2022.02.26,109.33
정읍시(풍월교),2022.02.27,110.38
정읍시(풍월교),2022.02.28,111
정읍시(풍월교),2022.03.01,111.63
정읍시(풍월교),2022.03.02,112.25
정읍시(풍월교),2022.03.03,111
정읍시(풍월교),2022.03.04,107.71
정읍시(풍월교),2022.03.05,108.92
정읍시(풍월교),2022.03.06,110.63
정읍시(풍월교),2022.03.07,110.79
정읍시(풍월교),2022.03.08,111
정읍시(풍월교),2022.03.09,110.79
정읍시(풍월교),2022.03.10,110.67
정읍시(풍월교),2022.03.11,110.88
정읍시(풍월교),2022.03.12,111.5
정읍시(풍월교),2022.03.13,129.96
정읍시(풍월교),2022.03.14,158.63
정읍시(풍월교),2022.03.15,172.79
정읍시(풍월교),2022.03.16,177.21
정읍시(풍월교),2022.03.17,180.38
정읍시(풍월교),2022.03.18,186.13
정읍시(풍월교),2022.03.19,197.92
정읍시(풍월교),2022.03.20,214.38
정읍시(풍월교),2022.03.21,228.13
정읍시(풍월교),2022.03.22,244
정읍시(풍월교),2022.03.23,259.83
정읍시(풍월교),2022.03.24,272.79
정읍시(풍월교),2022.03.25,283.71
정읍시(풍월교),2022.03.26,291.58
정읍시(풍월교),2022.03.27,293.96
정읍시(풍월교),2022.03.28,293.63
정읍시(풍월교),2022.03.29,294.33
정읍시(풍월교),2022.03.30,295.17
정읍시(풍월교),2022.03.31,290.5
정읍시(풍월교),2022.04.01,286.25
정읍시(풍월교),2022.04.02,279.63
정읍시(풍월교),2022.04.03,276.96
정읍시(풍월교),2022.04.04,274.79
정읍시(풍월교),2022.04.05,271.29
정읍시(풍월교),2022.04.06,266.38
정읍시(풍월교),2022.04.07,265.71
정읍시(풍월교),2022.04.08,274.5
정읍시(풍월교),2022.04.09,282.71
정읍시(풍월교),2022.04.10,289.96
정읍시(풍월교),2022.04.11,295.38
정읍시(풍월교),2022.04.12,299.75
정읍시(풍월교),2022.04.13,304.33
정읍시(풍월교),2022.04.14,305.29
정읍시(풍월교),2022.04.15,306.08
정읍시(풍월교),2022.04.16,303.58
정읍시(풍월교),2022.04.17,303.58
정읍시(풍월교),2022.04.18,302.63
정읍시(풍월교),2022.04.19,296.89
정읍시(풍월교),2022.04.20,290.11
정읍시(풍월교),2022.04.21,289.13
정읍시(풍월교),2022.04.22,280.56
정읍시(풍월교),2022.04.23,280.33
정읍시(풍월교),2022.04.24,284.33
정읍시(풍월교),2022.04.25,283.75
정읍시(풍월교),2022.04.26,302.29
정읍시(풍월교),2022.04.27,297.75
정읍시(풍월교),2022.04.28,292.38
정읍시(풍월교),2022.04.29,301.54
정읍시(풍월교),2022.04.30,309.67
정읍시(풍월교),2022.05.01,308.13
정읍시(풍월교),2022.05.02,304
정읍시(풍월교),2022.05.03,306.88
정읍시(풍월교),2022.05.04,309.88
정읍시(풍월교),2022.05.05,305.79
정읍시(풍월교),2022.05.06,304.46
정읍시(풍월교),2022.05.07,310.33
정읍시(풍월교),2022.05.08,312.08
정읍시(풍월교),2022.05.09,307.63
정읍시(풍월교),2022.05.10,306.33
정읍시(풍월교),2022.05.13,302.5
정읍시(풍월교),2022.05.14,303.25
정읍시(풍월교),2022.05.15,307.96
정읍시(풍월교),2022.05.16,299.21
정읍시(풍월교),2022.05.17,294.17
정읍시(풍월교),2022.05.18,298.13
정읍시(풍월교),2022.05.19,290.92
정읍시(풍월교),2022.05.20,289
정읍시(풍월교),2022.05.21,294.33
정읍시(풍월교),2022.05.22,299.33
정읍시(풍월교),2022.05.23,297.04
정읍시(풍월교),2022.05.24,294.92
정읍시(풍월교),2022.05.25,297.33
정읍시(풍월교),2022.05.26,295.21
정읍시(풍월교),2022.05.27,294.42
정읍시(풍월교),2022.05.28,295.63
정읍시(풍월교),2022.05.29,298.5
정읍시(풍월교),2022.05.30,298.08
정읍시(풍월교),2022.05.31,300.04
정읍시(풍월교),2022.06.01,301
정읍시(풍월교),2022.06.02,298.33
정읍시(풍월교),2022.06.03,293.29
정읍시(풍월교),2022.06.04,295.63
정읍시(풍월교),2022.06.05,304.04
정읍시(풍월교),2022.06.06,308.88
정읍시(풍월교),2022.06.07,315.96
정읍시(풍월교),2022.06.08,315.42
정읍시(풍월교),2022.06.09,304.67
정읍시(풍월교),2022.06.10,305.25
정읍시(풍월교),2022.06.11,306.13
정읍시(풍월교),2022.06.12,303.83
정읍시(풍월교),2022.06.13,299.79
정읍시(풍월교),2022.06.14,306.04
정읍시(풍월교),2022.06.15,314.88
정읍시(풍월교),2022.06.16,308.17
정읍시(풍월교),2022.06.17,305.13
정읍시(풍월교),2022.06.18,310.29
정읍시(풍월교),2022.06.19,308.04
정읍시(풍월교),2022.06.20,309.71
정읍시(풍월교),2022.06.21,311.13
정읍시(풍월교),2022.06.23,297.67
정읍시(풍월교),2022.06.24,276.83
정읍시(풍월교),2022.06.25,280.42
정읍시(풍월교),2022.06.26,294.96
정읍시(풍월교),2022.06.27,296.5
정읍시(풍월교),2022.06.28,297.75
정읍시(풍월교),2022.06.29,304.5
정읍시(풍월교),2022.06.30,297.17
정읍시(풍월교),2022.07.01,296.04
정읍시(풍월교),2022.07.02,307.75
정읍시(풍월교),2022.07.03,311.75
정읍시(풍월교),2022.07.04,306.63
정읍시(풍월교),2022.07.06,312.83
정읍시(풍월교),2022.07.07,305.63
정읍시(풍월교),2022.07.08,306.42
정읍시(풍월교),2022.07.09,306.79
정읍시(풍월교),2022.07.10,306.54
정읍시(풍월교),2022.07.11,308.25
정읍시(풍월교),2022.07.12,306.25
정읍시(풍월교),2022.07.13,311.25
정읍시(풍월교),2022.07.14,306.5
정읍시(풍월교),2022.07.15,304
정읍시(풍월교),2022.07.16,302.38
정읍시(풍월교),2022.07.17,299.04
정읍시(풍월교),2022.07.18,272.96
정읍시(풍월교),2022.07.19,305.33
정읍시(풍월교),2022.07.20,310.54
정읍시(풍월교),2022.07.22,305.13
정읍시(풍월교),2022.07.23,304.96
정읍시(풍월교),2022.07.24,306
정읍시(풍월교),2022.07.25,301.5
정읍시(풍월교),2022.07.26,303.46
정읍시(풍월교),2022.07.27,309
정읍시(풍월교),2022.07.28,306.92
정읍시(풍월교),2022.07.29,297.46
정읍시(풍월교),2022.07.30,306
정읍시(풍월교),2022.07.31,306.25
정읍시(풍월교),2022.08.01,316.25
정읍시(풍월교),2022.08.02,320.38
정읍시(풍월교),2022.08.03,318.79
정읍시(풍월교),2022.08.04,311.5
정읍시(풍월교),2022.08.05,302.42
정읍시(풍월교),2022.08.06,297.67
정읍시(풍월교),2022.08.07,293.92
정읍시(풍월교),2022.08.08,280.29
정읍시(풍월교),2022.08.09,269.08
정읍시(풍월교),2022.08.10,285.5
정읍시(풍월교),2022.08.11,260.46
정읍시(풍월교),2022.08.12,177.63
정읍시(풍월교),2022.08.13,170
정읍시(풍월교),2022.08.14,207
정읍시(풍월교),2022.08.15,307.5
정읍시(풍월교),2022.08.16,248.08
정읍시(풍월교),2022.08.17,314.21
정읍시(풍월교),2022.08.18,315.75
정읍시(풍월교),2022.08.19,310.08
정읍시(풍월교),2022.08.20,308.5
정읍시(풍월교),2022.08.21,302.38
정읍시(풍월교),2022.08.22,300.46
정읍시(풍월교),2022.08.24,310.75
정읍시(풍월교),2022.08.25,299.67
정읍시(풍월교),2022.08.29,301.46
정읍시(풍월교),2022.08.30,305.83
정읍시(풍월교),2022.09.01,308.21
정읍시(풍월교),2022.09.02,304.08
정읍시(풍월교),2022.09.03,266.83
정읍시(풍월교),2022.09.04,236.88
정읍시(풍월교),2022.09.05,132
정읍시(풍월교),2022.09.06,249.13
정읍시(풍월교),2022.09.07,262.25
정읍시(풍월교),2022.09.08,295.67
정읍시(풍월교),2022.09.09,312.58
정읍시(풍월교),2022.09.10,314.08
정읍시(풍월교),2022.09.11,311.86
정읍시(풍월교),2022.09.12,
정읍시(풍월교),2022.09.13,306.96
정읍시(풍월교),2022.09.14,309.38
정읍시(풍월교),2022.09.16,297.08
정읍시(풍월교),2022.09.17,303.67
정읍시(풍월교),2022.09.18,311.25
정읍시(풍월교),2022.09.19,309.13
정읍시(풍월교),2022.09.20,307.21
정읍시(풍월교),2022.09.21,311.88
